id	description	shortDescription	defaultOutcome	defaultOutcomeText	targetInterpretation	targetInterpretationText	example issues/notes for this rule	
BA1	Allele frequency is >5% in Exome Sequencing Project, 1000 Genomes Project, or Exome Aggregation Consortium	present in population databases at greater than 5%	CG:A	Stand-Alone	LN:LA6675-8	Benign	Several groups have lowered the BA1 threshold (e.g. PTEN-1%). Also the sequence variant interpretation group is working on a modified version of this guideline including the minimum # of alleles that need to be examined and the population stratification effects, if any.	
BS1	Allele frequency is greater than expected for disorder	MAF too high for disorder	CG:S	Strong	LN:LA6675-8	Benign		
BS2	Observed in a healthy adult individual for a recessive (homozygous), dominant (heterozygous), or X-linked (hemizygous) disorder, with full penetrance expected at an early age	control frequency higher than penetrance predicts	CG:S	Strong	LN:LA6675-8	Benign	This rule should not be used for diseases with reduced penetrance or late/variable age of  onset (such as certain cardiomyopathies).	
BS3	Well-established in vitro or in vivo functional studies show no damaging effect on protein function or splicing	well-established no damaging effect functional studies	CG:S	Strong	LN:LA6675-8	Benign	 This will all depend on what is “established”, which could end up being defined by the different clinical domain working groups. 	
BS4	Lack of segregation in affected members of a family	does not segregate with disease	CG:S	Strong	LN:LA6675-8	Benign	This rule is for “lack of segregation” meaning phenotype positive / genotype negative (and not pheno neg / geno pos). Also need to be careful of phenocopies. Also need rules for how many cases are needed in use this rule	
BP1	Missense variant in a gene for which primarily truncating variants are known to cause disease	missense variant when truncating is pathogenic 	CG:P	Supporting	LN:LA6675-8	Benign	Is there any guidance on the proportion of pathogenic variants that are LOF to apply this rule?  99%? 90%? 75%?	
BP2	Observed in trans with a pathogenic variant for a fully penetrant dominant gene/disorder or observed in cis with a pathogenic variant in any inheritance pattern	in trans with dominant OR in cis with path variant	CG:P	Supporting	LN:LA6675-8	Benign		
BP3	In-frame deletions/insertions in a repetitive region without a known function	in-frame indel unknown function	CG:P	Supporting	LN:LA6675-8	Benign		
BP4	Multiple lines of computational evidence suggest no impact on gene or gene product (conservation, evolutionary, splicing impact, etc.)	computational evidence for no gene impact	CG:P	Supporting	LN:LA6675-8	Benign		
BP5	Variant found in a case with an alternate molecular basis for disease	alternate cause of disease	CG:P	Supporting	LN:LA6675-8	Benign		
BP6	Reputable source recently reports variant as benign, but the evidence is not available to the laboratory to perform an independent evaluation	benign from reputable source without shared data	CG:P	Supporting	LN:LA6675-8	Benign		
BP7	A synonymous (silent) variant for which splicing prediction algorithms predict no impact to the splice consensus sequence nor the creation of a new splice site AND the nucleotide is not highly conserved	silent variant no splicing  impact  and low conservation	CG:P	Supporting	LN:LA6675-8	Benign		
